Full Address,H Status-flag,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City,new h address-flag,new h house number,new h street name,new h city,new h county,unidentified h info,new h street 1,new h street 2,new h street type,h house number modifier,new address2 house number,new address2 street name,new address2 street 1,new address2 street 2,new address2 street type,new address2 city,new address2 county,unidentified address2 info,address2 house number modifier
"110 Pearl, h. Brooklyn",TRUE,H. BROOKLYN,,,,110 Pearl,110,Pearl,,start with h,,,BROOKLYN,,,,,,,,,,,,,,,
"42 John, h. Pacific n. Boeram , Brooklyn",TRUE,"H. PACIFIC N. BOERAM , BROOKLYN",,,"PACIFIC N. BOERAM , BROOKLYN",42 John,42,John,,start with h,,PACIFIC,BROOKLYN,,"N. BOERAM ,",,,,,,,,,,,,,
h. 8 Jackson,TRUE,H. 8 JACKSON,8,JACKSON,,,,,,start with h,8,JACKSON,,,,,,,,,,,,,,,,
"50 Hudson, h. 50 Hudson",TRUE,H. 50 HUDSON,50,HUDSON,,50 Hudson,50,Hudson,,start with h,50,HUDSON,,,,,,,,,,,,,,,,
"47 Elm, h. Staten Island",TRUE,H. STATEN ISLAND,,,STATEN ISLAND,47 Elm,47,Elm,,start with h,,,STATEN ISLAND,,,,,,,,,,,,,,,
"103 Stanton, h. 159 Ludlow",TRUE,H. 159 LUDLOW,159,LUDLOW,,103 Stanton,103,Stanton,,start with h,159,LUDLOW,,,,,,,,,,,,,,,,
"11 Jackson, h. 11 Jackson",TRUE,H. 11 JACKSON,11,JACKSON,,11 Jackson,11,Jackson,,start with h,11,JACKSON,,,,,,,,,,,,,,,,
"31 Washington market, h. W. 26th n. Av. 7.",TRUE,H. W. 26TH N. AV. 7.,,,W. 26TH N. AV. 7.,31 Washington market,31,Washington market,,start with h,,,,,TN. AV .,W 26,7,near,,,,,,,,,,
"W. 27thn. Av. 9, h. 135 W. 15th",TRUE,H. 135 W. 15TH,135,W. 15TH,,W. 27thn. Av. 9,,,W. 27thn. Av. 9,start with h,135,W 15,,,TH,,,,,,,,,,,,,
"362 Tenth, h. 362 10th",TRUE,H. 362 10TH,362,10TH,,362 Tenth,362,Tenth,,start with h,362,10,,,TH,,,,,,,,,,,,,
"19 Leroy, h. 21 Leroy",TRUE,H. 21 LEROY,21,LEROY,,19 Leroy,19,Leroy,,start with h,21,LEROY,,,,,,,,,,,,,,,,
"136 Greenwich, h. 136 Greenwich *",TRUE,H. 136 GREENWICH *,136,GREENWICH *,,136 Greenwich,136,Greenwich,,start with h,136,GREENWICH,,,*,,,,,,,,,,,,,
"304 Water, h. 304 Water",TRUE,H. 304 WATER,304,WATER,,304 Water,304,Water,,start with h,304,WATER,,,,,,,,,,,,,,,,
"227 Walker, h. 27 Forsyth",TRUE,H. 27 FORSYTH,27,FORSYTH,,227 Walker,227,Walker,,start with h,27,FORSYTH,,,,,,,,,,,,,,,,
"25 Horatio, h. 25 Horatio",TRUE,H. 25 HORATIO,25,HORATIO,,25 Horatio,25,Horatio,,start with h,25,HORATIO,,,,,,,,,,,,,,,,
"320 Rivington, h. 320 Rivgtn",TRUE,H. 320 RIVGTN,320,RIVGTN,,320 Rivington,320,Rivington,,start with h,,320,,,RIVGTN,,,,,,,,,,,,,
"4 Beaver, h. 8 Pearl",TRUE,H. 8 PEARL,8,PEARL,,4 Beaver,4,Beaver,,start with h,8,PEARL,,,,,,,,,,,,,,,,
"54 Chatham, h. 54 Chthm",TRUE,H. 54 CHTHM,54,CHTHM,,54 Chatham,54,Chatham,,start with h,,54,,,CHTHM,,,,,,,,,,,,,
"369 Bleecker, h. 369 Blckr",TRUE,H. 369 BLCKR,369,BLCKR,,369 Bleecker,369,Bleecker,,start with h,,369,,,BLCKR,,,,,,,,,,,,,
"94 Ridge, h. 94 Ridge",TRUE,H. 94 RIDGE,94,RIDGE,,94 Ridge,94,Ridge,,start with h,94,RIDGE,,,,,,,,,,,,,,,,
"95 Cedar, h. 111 Division",TRUE,H. 111 DIVISION,111,DIVISION,,95 Cedar,95,Cedar,,start with h,111,DIVISION,,,,,,,,,,,,,,,,
h. 504 Houston,TRUE,H. 504 HOUSTON,504,HOUSTON,,,,,,start with h,504,HOUSTON,,,,,,,,,,,,,,,,
"63 Av. 4, h. 63 Av. 4",TRUE,H. 63 AV. 4,63,AV. 4,,63 Av. 4,63,Av. 4,,start with h,63,4,,,AV,,,,,,,,,,,,,
"260 Broome, h. 81 Orchard",TRUE,H. 81 ORCHARD,81,ORCHARD,,260 Broome,260,Broome,,start with h,81,ORCHARD,,,,,,,,,,,,,,,,
"587 Greenwich, h. 587 Greenwich",TRUE,H. 587 GREENWICH,587,GREENWICH,,587 Greenwich,587,Greenwich,,start with h,587,GREENWICH,,,,,,,,,,,,,,,,
"70 Orchard, h. 70Orchd.",TRUE,H. 70ORCHD.,,,,70 Orchard,70,Orchard,,start with h,,70,,,ORCHD.,,,,,,,,,,,,,
h. 32 Orchard,TRUE,H. 32 ORCHARD,32,ORCHARD,,,,,,start with h,32,ORCHARD,,,,,,,,,,,,,,,,
"133.5 Chatham, h. 52 Oliver",TRUE,H. 52 OLIVER,52,OLIVER,,133.5 Chatham,,,133.5 Chatham,start with h,52,OLIVER,,,,,,,,,,,,,,,,
"38 Monroe, h. 42 Monroe",TRUE,H. 42 MONROE,42,MONROE,,38 Monroe,38,Monroe,,start with h,42,MONROE,,,,,,,,,,,,,,,,
"33 Ferry & 66 Frankfort, h. 57 Willow , Brooklyn.",TRUE,"H. 57 WILLOW , BROOKLYN.",57,"WILLOW , .",BROOKLYN,33 Ferry & 66 Frankfort,33,Ferry & 66 Frankfort,,start with h,57,WILLOW,BROOKLYN,,", .",,,,,,,,,,,,,
h. 269 Second,TRUE,H. 269 2ND,269,SECOND,,,,,,start with h,269,2,,,69 ND,,,,,,,,,,,,,
"69 West, h. New Brighton",TRUE,H. NEW BRIGHTON,,,NEW BRIGHTON,69 West,69,West,,start with h,,NEW,BRIGHTON,,,,,,,,,,,,,,,
h. 253 Monroe,TRUE,H. 253 MONROE,253,MONROE,,,,,,start with h,253,MONROE,,,,,,,,,,,,,,,,
"1 Bedford, h. 1 Congress pl",TRUE,H. 1 CONGRESS PL,1,CONGRESS PL,,1 Bedford,1,Bedford,,start with h,1,CONGRESS,,,PL,,,,,,,,,,,,,
h. 1 Orchard,TRUE,H. 1 ORCHARD,1,ORCHARD,,,,,,start with h,1,ORCHARD,,,,,,,,,,,,,,,,
"45 Av. 8, h. 45 Av. 8",TRUE,H. 45 AV. 8,45,AV. 8,,45 Av. 8,45,Av. 8,,start with h,45,8,,,AV,,,,,,,,,,,,,
231 Centre h. 231 Walker,Assume,231 CENTRE H. 231 WALKER,231,CENTRE H. 231 WALKER,,,,,,h in between,231,WALKER,,,,,,,,231,CENTRE,,,,,,,
"139 B.way, h. 319 Tenth",TRUE,H. 319 10TH,319,TENTH,,139 B.way,139,B.way,,start with h,319,10,,,TH,,,,,,,,,,,,,
h. 383 Bowery,TRUE,H. 383 BOWERY,383,BOWERY,,,,,,start with h,383,BOWERY,,,,,,,,,,,,,,,,
"Av. 7 n. W. 31st, h. Av. 7 n. W. 31st",TRUE,H. AV. 7 N. W. 31ST,7,N. W. 31ST,,Av. 7 n. W. 31st,7,n. W. 31st,,start with h,7,W 31,,,AV  N. ST,,,,,,,,,,,,,
"86 Centre, h. 86 Centre",TRUE,H. 86 CENTRE,86,CENTRE,,86 Centre,86,Centre,,start with h,86,CENTRE,,,,,,,,,,,,,,,,
"142 B.way, h. 15 Ninth",TRUE,H. 15 9TH,15,NINTH,,142 B.way,142,B.way,,start with h,15,9,,,TH,,,,,,,,,,,,,
"80 Beaver, h. 15 Ninth",TRUE,H. 15 9TH,15,NINTH,,80 Beaver,80,Beaver,,start with h,15,9,,,TH,,,,,,,,,,,,,
h. 15 Ninth,TRUE,H. 15 9TH,15,NINTH,,,,,,start with h,15,9,,,TH,,,,,,,,,,,,,
"84 Hester, h. 84 Hester",TRUE,H. 84 HESTER,84,HESTER,,84 Hester,84,Hester,,start with h,84,HESTER,,,,,,,,,,,,,,,,
"180 Water, h. Newark",TRUE,H. NEWARK,,,,180 Water,180,Water,,start with h,,,NEWARK,,,,,,,,,,,,,,,
h. 117 Madison,TRUE,H. 117 MADISON,117,MADISON,,,,,,start with h,117,MADISON,,,,,,,,,,,,,,,,
"372 Broome, h. 372 Broome",TRUE,H. 372 BROOME,372,BROOME,,372 Broome,372,Broome,,start with h,372,BROOME,,,,,,,,,,,,,,,,
"247 Av. 6, h. 247 Av. 6",TRUE,H. 247 AV. 6,247,AV. 6,,247 Av. 6,247,Av. 6,,start with h,247,6,,,AV,,,,,,,,,,,,,
"35 Hamersley, h. 44 Hamersley",TRUE,H. 44 HAMERSLEY,44,HAMERSLEY,,35 Hamersley,35,Hamersley,,start with h,,44,,,HAMERSLEY,,,,,,,,,,,,,
"2 Hanover, h. 31st n. Broadway",TRUE,H. 31ST N. BROADWAY,,,31ST N. BROADWAY,2 Hanover,2,Hanover,,start with h,,,,,ST N.,31,BROADWAY,near,,,,,,,,,,
"561 Hudson, h. 96 Hammond",TRUE,H. 96 HAMMOND,96,HAMMOND,,561 Hudson,561,Hudson,,start with h,,96,HAMMOND,,,,,,,,,,,,,,,
"565 Hudson, h. 96 Hammond",TRUE,H. 96 HAMMOND,96,HAMMOND,,565 Hudson,565,Hudson,,start with h,,96,HAMMOND,,,,,,,,,,,,,,,
"528 West, h. 528 West",TRUE,H. 528 WEST,528,WEST,,528 West,528,West,,start with h,,528,,,WEST,,,,,,,,,,,,,
30 Clinton mkt. h. 1.-8 W. 22d,Assume,30 CLINTON MKT. H. 1.8 W. 22D,30,CLINTON MKT. H. 1.-8 W. 22D,,,,,,h in between,,W 22,,,1.8 D,,,,,30,CLINTON,,,,,,MKT.,
"56 Front, h. 2 Hubert",TRUE,H. 2 HUBERT,2,HUBERT,,56 Front,56,Front,,start with h,,2,HUB,,ERT,,,,,,,,,,,,,
"83 Duane, h. 47 N. Moore",TRUE,H. 47 N. MOORE,47,N. MOORE,,83 Duane,83,Duane,,start with h,47,N MOORE,,,N. MOORE,,,,,,,,,,,,,
"organs( 86 Wooster, h. 2 Hubert",TRUE,H. 2 HUBERT,2,HUBERT,,organs( 86 Wooster,86,Wooster,,start with h,,2,HUB,,ERT,,,,,,,,,,,,,
"46 Eldridge, h. 177 Orchard",TRUE,H. 177 ORCHARD,177,ORCHARD,,46 Eldridge,46,Eldridge,,start with h,177,ORCHARD,,,,,,,,,,,,,,,,
h. 137 Ludlow,TRUE,H. 137 LUDLOW,137,LUDLOW,,,,,,start with h,137,LUDLOW,,,,,,,,,,,,,,,,
h. 35 Hester,TRUE,H. 35 HESTER,35,HESTER,,,,,,start with h,35,HESTER,,,,,,,,,,,,,,,,
"29 Beekman, h. 95 Lexington Av",TRUE,H. 95 LEXINGTON AV,95,LEXINGTON AV,,29 Beekman,29,Beekman,,start with h,95,LEXINGTON,,,AV,,,,,,,,,,,,,
"1 Jacob, h. Williamsburg",TRUE,H. WILLIAMSBURG,,,,1 Jacob,1,Jacob,,start with h,,,WILLIAMSBURG,,,,,,,,,,,,,,,
"270 Av. 8, h. 270 Av. 8",TRUE,H. 270 AV. 8,270,AV. 8,,270 Av. 8,270,Av. 8,,start with h,270,8,,,AV,,,,,,,,,,,,,
"170 Front, h. 105 Prince",TRUE,H. 105 PRINCE,105,PRINCE,,170 Front,170,Front,,start with h,105,PRINCE,,,,,,,,,,,,,,,,
"631.5 B.way, h. 631.5B.way",TRUE,H. 631.5B.WAY,,,,631.5 B.way,,,631.5 B.way,start with h,,631,,,B.WAY,,,,631.5B.WAY,,,,,,,,,
"353 Av. 3, h. 4 E. 28th",TRUE,H. 4 E. 28TH,4,E. 28TH,,353 Av. 3,353,Av. 3,,start with h,4,E 28,,,TH,,,,,,,,,,,,,
"118 Liberty, h. 118 Liberty",TRUE,H. 118 LIBERTY,118,LIBERTY,,118 Liberty,118,Liberty,,start with h,118,LIBERTY,,,,,,,,,,,,,,,,
"96 WaH, h. 246 Grand",TRUE,H. 246 GRAND,246,GRAND,,96 WaH,96,WaH,,start with h,246,GRAND,,,,,,,,,,,,,,,,
"89 Front, h. Hoyt n. Dean , Brooklyn",TRUE,"H. HOYT N. DEAN , BROOKLYN",,,"HOYT N. DEAN , BROOKLYN",89 Front,89,Front,,start with h,,,BROOKLYN,,"N.  ,",HOYT,DEAN,near,,,,,,,,,,
"213.5 Division, h. 213.5 Division",TRUE,H. 213.5 DIVISION,,,213.5 DIVISION,213.5 Division,,,213.5 Division,start with h,213,DIVISION,,,,,,,213.5,,,,,,,,,
"43 Broad, h. New Jersey",TRUE,H. NEW JERSEY,,,NEW JERSEY,43 Broad,43,Broad,,start with h,,,NEW JERSEY,,,,,,,,,,,,,,,
"47 South & 30 Old slip, h. 160 Leonard",TRUE,H. 160 LEONARD,160,LEONARD,,47 South & 30 Old slip,47,South & 30 Old slip,,start with h,,160,LEON,,ARD,,,,,,,,,,,,,
"132 Chrystie & 163 Elizabeth, h. 132 Chrystie lackey Hugh, h. 806 Washington",TRUE,H. 132 CHRYSTIE LACKEY HUGH,132,CHRYSTIE LACKEY HUGH,,132 Chrystie & 163 Elizabeth,132,Chrystie & 163 Elizabeth,,start with h,132,CHRYSTIE,,,LACKEY HUGH,,,,,,,,,,,,,
"71 Broad, h. 81 Clinton pl",TRUE,H. 81 CLINTON PL,81,CLINTON PL,,71 Broad,71,Broad,,start with h,81,CLINTON PL,,,,,,,,,,,,,,,,
12 Park pl. h. 370 Broadway,Assume,12 PARK PL. H. 370 BROADWAY,12,PARK PL. H. 370 BROADWAY,,,,,,h in between,370,BROADWAY,,,,,,,,12,PARK PL,,,,,,.,
"15 S. William, h. 90 White",TRUE,H. 90 WHITE,90,WHITE,,15 S. William,15,S. William,,start with h,90,WHITE,,,,,,,,,,,,,,,,
"270 Houston, h. 179 Stanton",TRUE,H. 179 STANTON,179,STANTON,,270 Houston,270,Houston,,start with h,179,STANTON,,,,,,,,,,,,,,,,
"Av. 2 c. E. 30th & 34 Cortlandt, h. 297 Av. 2",TRUE,H. 297 AV. 2,297,AV. 2,,Av. 2 c. E. 30th & 34 Cortlandt,2,c. E. 30th & 34 Cortlandt,,start with h,297,2,,,97 AV,,,,,,,,,,,,,
"21 Coenties slip & 489 Broadway, h. 29 Pike",TRUE,H. 29 PIKE,29,PIKE,,21 Coenties slip & 489 Broadway,21,Coenties slip & 489 Broadway,,start with h,29,PIKE,,,,,,,,,,,,,,,,
"96 Wall, h. 276 Grand",TRUE,H. 276 GRAND,276,GRAND,,96 Wall,96,Wall,,start with h,276,GRAND,,,,,,,,,,,,,,,,
"69 South, h. 125 Henry , Brooklyn",TRUE,"H. 125 HENRY , BROOKLYN",125,"HENRY ,",BROOKLYN,69 South,69,South,,start with h,125,HENRY,BROOKLYN,,",",,,,,,,,,,,,,
"7 Coenties slip, h. 27 Grand",TRUE,H. 27 GRAND,27,GRAND,,7 Coenties slip,7,Coenties slip,,start with h,27,GRAND,,,,,,,,,,,,,,,,
"7 Coenties slip, h 94 Grand",TRUE,H 94 GRAND,94,GRAND,,7 Coenties slip,7,Coenties slip,,start with h,94,GRAND,,,H,,,,,,,,,,,,,
"39 Nassau, h. Brooklyn",TRUE,H. BROOKLYN,,,,39 Nassau,39,Nassau,,start with h,,,BROOKLYN,,,,,,,,,,,,,,,
"441 Broadway, h. 42 Walker",TRUE,H. 42 WALKER,42,WALKER,,441 Broadway,441,Broadway,,start with h,42,WALKER,,,,,,,,,,,,,,,,
"64 Wall, h. Elizabethtown , New Jersey",TRUE,"H. ELIZABETHTOWN , NEW JERSEY",,,"ELIZABETHTOWN , NEW JERSEY",64 Wall,64,Wall,,start with h,,ELIZABETH,NEW JERSEY,,"TOWN ,",,,,,,,,,,,,,
"25 Wall, h. 29 Lispenard",TRUE,H. 29 LISPENARD,29,LISPENARD,,25 Wall,25,Wall,,start with h,29,LISPENARD,,,,,,,,,,,,,,,,
"126 Av. 1 & 90 Seventh, h. 90 Seventh",TRUE,H. 90 7TH,90,SEVENTH,,126 Av. 1 & 90 Seventh,126,Av. 1 & 90 Seventh,,start with h,90,7,,,TH,,,,,,,,,,,,,
"190 Washington, h. Union pl. Hoboken",TRUE,H. UNION PL. HOBOKEN,,,UNION PL. HOBOKEN,190 Washington,190,Washington,,start with h,,UNION PL,HOBOKEN,,.,,,,,,,,,,,,,
"190 Washington & 81 Vesey, h. Hoboken",TRUE,H. HOBOKEN,,,,190 Washington & 81 Vesey,190,Washington & 81 Vesey,,start with h,,,HOBOKEN,,,,,,,,,,,,,,,
"272 Houston, h. 272 Houston",TRUE,H. 272 HOUSTON,272,HOUSTON,,272 Houston,272,Houston,,start with h,272,HOUSTON,,,,,,,,,,,,,,,,
h. 100 Barclay,TRUE,H. 100 BARCLAY,100,BARCLAY,,,,,,start with h,100,BARCLAY,,,,,,,,,,,,,,,,
"833 Greenwich, h. 23 Horatio",TRUE,H. 23 HORATIO,23,HORATIO,,833 Greenwich,833,Greenwich,,start with h,23,HORATIO,,,,,,,,,,,,,,,,
h. 106 Ludlow,TRUE,H. 106 LUDLOW,106,LUDLOW,,,,,,start with h,106,LUDLOW,,,,,,,,,,,,,,,,
"289 Broadway, h. 22 Washington pl.",TRUE,H. 22 WASHINGTON PL.,22,WASHINGTON PL.,,289 Broadway,289,Broadway,,start with h,22,WASHINGTON PL,,,.,,,,,,,,,,,,,
"182 Av. 3, h. 182 Av. 3",TRUE,H. 182 AV. 3,182,AV. 3,,182 Av. 3,182,Av. 3,,start with h,182,3,,,AV,,,,,,,,,,,,,
"87 Elizabeth, h. 208 Adam , Brooklyn",TRUE,"H. 208 ADAM , BROOKLYN",208,"ADAM ,",BROOKLYN,87 Elizabeth,87,Elizabeth,,start with h,,208,BROOKLYN,,"ADAM ,",,,,,,,,,,,,,
"247 Broadway, h. Williamsburg",TRUE,H. WILLIAMSBURG,,,,247 Broadway,247,Broadway,,start with h,,,WILLIAMSBURG,,,,,,,,,,,,,,,
"165 Barrow, h. 169 Barrow",TRUE,H. 169 BARROW,169,BARROW,,165 Barrow,165,Barrow,,start with h,169,BARROW,,,,,,,,,,,,,,,,
h. 62 Cannon,TRUE,H. 62 CANNON,62,CANNON,,,,,,start with h,62,CANNON,,,,,,,,,,,,,,,,
h. 27 Jones,TRUE,H. 27 JONES,27,JONES,,,,,,start with h,27,JONES,,,,,,,,,,,,,,,,
"7 Broome, h. 17 Broome",TRUE,H. 17 BROOME,17,BROOME,,7 Broome,7,Broome,,start with h,17,BROOME,,,,,,,,,,,,,,,,
"83 Duane, h. 83 Duane",TRUE,H. 83 DUANE,83,DUANE,,83 Duane,83,Duane,,start with h,83,DUANE,,,,,,,,,,,,,,,,
h. 296 Fifth,TRUE,H. 296 5TH,296,FIFTH,,,,,,start with h,296,5,,,TH,,,,,,,,,,,,,
"31 Old slip, h. 31 Old sl.",TRUE,H. 31 OLD SL.,31,OLD SL.,,31 Old slip,31,Old slip,,start with h,,31,,,OLD SL.,,,,,,,,,,,,,
h. 75 Robinson,TRUE,H. 75 ROBINSON,75,ROBINSON,,,,,,start with h,75,ROBINSON,,,,,,,,,,,,,,,,
"213 Greenwich, h. 177 Duane",TRUE,H. 177 DUANE,177,DUANE,,213 Greenwich,213,Greenwich,,start with h,177,DUANE,,,,,,,,,,,,,,,,
"205 Greenwich, h. 177 Duane",TRUE,H. 177 DUANE,177,DUANE,,205 Greenwich,205,Greenwich,,start with h,177,DUANE,,,,,,,,,,,,,,,,
"289 Broadway, h. 289 Broadway",TRUE,H. 289 BROADWAY,289,BROADWAY,,289 Broadway,289,Broadway,,start with h,289,BROADWAY,,,,,,,,,,,,,,,,
"62 Wall, h. 20 W. 11th",TRUE,H. 20 W. 11TH,20,W. 11TH,,62 Wall,62,Wall,,start with h,20,W 11,,,TH,,,,,,,,,,,,,
"62 Wall, h. France",TRUE,H. FRANCE,,,,62 Wall,62,Wall,,start with h,,,,,FRANCE,,,,,,,,,,,,,
"127 Front, h. 147 High , BÃ¢ÂÂklyn",TRUE,"H. 147 HIGH , BÃÂÂKLYN",147,"HIGH ,",BÃÂÂKLYN,127 Front,127,Front,,start with h,147,HIGH,,,", BÃÂÂKLYN",,,,,,,,,,,,,
"134 Pearl, h. Brooklyn",TRUE,H. BROOKLYN,,,,134 Pearl,134,Pearl,,start with h,,,BROOKLYN,,,,,,,,,,,,,,,
"175 Front, h. 124 Columbia , Brooklyn",TRUE,"H. 124 COLUMBIA , BROOKLYN",124,"COLUMBIA ,",BROOKLYN,175 Front,175,Front,,start with h,124,COLUMBIA,BROOKLYN,,",",,,,,,,,,,,,,
h. 37 Clinton pl.,TRUE,H. 37 CLINTON PL.,37,CLINTON PL.,,,,,,start with h,37,CLINTON PL,,,.,,,,,,,,,,,,,
h. 102 Jane,TRUE,H. 102 JANE,102,JANE,,,,,,start with h,102,JANE,,,,,,,,,,,,,,,,
h. 27 E. 21st,TRUE,H. 27 E. 21ST,27,E. 21ST,,,,,,start with h,27,E 21,,,ST,,,,,,,,,,,,,
"66 Wall, h. Carlton house",TRUE,H. CARLTON HOUSE,,,CARLTON HOUSE,66 Wall,66,Wall,,start with h,,,,,CARLTON HOUSE,,,,,,,,,,,,,
"97 Washin'gton, h. 97 Washtgn",TRUE,H. 97 WASHTGN,97,WASHTGN,,97 Washin'gton,97,Washin'gton,,start with h,97,ASH,,,WTGN,,,,,,,,,,,,,
"66 Fulton, h. 21 Thompson",TRUE,H. 21 THOMPSON,21,THOMPSON,,66 Fulton,66,Fulton,,start with h,21,THOMPSON,,,,,,,,,,,,,,,,
"92 Chatham, h. 92 Chatham",TRUE,H. 92 CHATHAM,92,CHATHAM,,92 Chatham,92,Chatham,,start with h,,92,CHATHAM,,,,,,,,,,,,,,,
"68 Barclay, h. 156 W. 17th n. Av. 7",TRUE,H. 156 W. 17TH N. AV. 7,156,W. 17TH N. AV. 7,,68 Barclay,68,Barclay,,start with h,156,,,,TN. AV,W 17,7,near,,,,,,,,,,
52 Washington market h. Jersey,Assume,52 WASHINGTON MARKET H. JERSEY,52,WASHINGTON MARKET H. JERSEY,,,,,,h in between,,JERSEY,,,,,,,,52,WASHINGTON MARKET,,,,,,,
"58 Cedar, h. 151 Franklin",TRUE,H. 151 FRANKLIN,151,FRANKLIN,,58 Cedar,58,Cedar,,start with h,151,FRANKLIN,,,,,,,,,,,,,,,,
"64 Canal, h. 82 Canal",TRUE,H. 82 CANAL,82,CANAL,,64 Canal,64,Canal,,start with h,82,CANAL,,,,,,,,,,,,,,,,
h. 7 St. GeorgeÃ¢ÂÂs pl.,TRUE,H. 7 ST. GEORGEÃÂÂS PL.,7,ST. GEORGEÃÂÂS PL.,,,,,,start with h,7,GEORGE,,,ST ÃÂÂS PL.,,,,,,,,,,,,,
"53 Vesey, h. 53 Vesey",TRUE,H. 53 VESEY,53,VESEY,,53 Vesey,53,Vesey,,start with h,53,VESEY,,,,,,,,,,,,,,,,
h. 103 Essex,TRUE,H. 103 ESSEX,103,ESSEX,,,,,,start with h,103,ESSEX,,,,,,,,,,,,,,,,
"387 Bowery, h. 387 Bowery",TRUE,H. 387 BOWERY,387,BOWERY,,387 Bowery,387,Bowery,,start with h,387,BOWERY,,,,,,,,,,,,,,,,
h. 211 Second,TRUE,H. 211 2ND,211,SECOND,,,,,,start with h,211,2,,,11 ND,,,,,,,,,,,,,
h. 230 Elizabeth,TRUE,H. 230 ELIZABETH,230,ELIZABETH,,,,,,start with h,230,ELIZABETH,,,,,,,,,,,,,,,,
"30 Centre mkt, h. 38 First",TRUE,H. 38 1ST,38,FIRST,,30 Centre mkt,30,Centre mkt,,start with h,38,1,,,ST,,,,,,,,,,,,,
h. 154 Grand,TRUE,H. 154 GRAND,154,GRAND,,,,,,start with h,154,GRAND,,,,,,,,,,,,,,,,
"82 Wall, h. 170 Atlantic , Brooklyn",TRUE,"H. 170 ATLANTIC , BROOKLYN",170,"ATLANTIC ,",BROOKLYN,82 Wall,82,Wall,,start with h,170,ATLANTIC,BROOKLYN,,",",,,,,,,,,,,,,
"100 Pearl, h. 35 Bond",TRUE,H. 35 BOND,35,BOND,,100 Pearl,100,Pearl,,start with h,35,BOND,,,,,,,,,,,,,,,,
"100 Pearl, h. 35 Bond",TRUE,H. 35 BOND,35,BOND,,100 Pearl,100,Pearl,,start with h,35,BOND,,,,,,,,,,,,,,,,
"36 Barclay, h. 38 Barclay",TRUE,H. 38 BARCLAY,38,BARCLAY,,36 Barclay,36,Barclay,,start with h,38,BARCLAY,,,,,,,,,,,,,,,,
"27 Clinton market, h. 10 Av. 7",TRUE,H. 10 AV. 7,10,AV. 7,,27 Clinton market,27,Clinton market,,start with h,10,7,,,AV,,,,,,,,,,,,,
h. 475 Greenwich,TRUE,H. 475 GREENWICH,475,GREENWICH,,,,,,start with h,475,GREENWICH,,,,,,,,,,,,,,,,
"15 Doyer, h. 13 Pell",TRUE,H. 13 PELL,13,PELL,,15 Doyer,15,Doyer,,start with h,13,PELL,,,,,,,,,,,,,,,,
"527 Av. 6, h. 527 Av. 6",TRUE,H. 527 AV. 6,527,AV. 6,,527 Av. 6,527,Av. 6,,start with h,527,6,,,AV,,,,,,,,,,,,,
"89 Pike slip, h. 89 Pike slip",TRUE,H. 89 PIKE SLIP,89,PIKE SLIP,,89 Pike slip,89,Pike slip,,start with h,89,PIKE SLIP,,,,,,,,,,,,,,,,
"42 John, h. 129 n. Av. 6",TRUE,H. 129 N. AV. 6,129,N. AV. 6,,42 John,42,John,,start with h,129,6,,,N. AV,,,,,,,,,,,,,
h. 295 Seventh,TRUE,H. 295 7TH,295,SEVENTH,,,,,,start with h,295,7,,,TH,,,,,,,,,,,,,
"69 Wall, h. 43 Wyckoff , Brooklyn",TRUE,"H. 43 WYCKOFF , BROOKLYN",43,"WYCKOFF ,",BROOKLYN,69 Wall,69,Wall,,start with h,43,WYCKOFF,BROOKLYN,,",",,,,,,,,,,,,,
523 Greenwlch. h. 523 Greenwich,Assume,523 GREENWLCH. H. 523 GREENWICH,523,GREENWLCH. H. 523 GREENWICH,,,,,,h in between,523,GREENWICH,,,,,,,,523,GREEN,,,,,,WLCH.,
h. 315 Front,TRUE,H. 315 FRONT,315,FRONT,,,,,,start with h,315,FRONT,,,,,,,,,,,,,,,,
h. Av. 8 n. W. 33d,TRUE,H. AV. 8 N. W. 33D,8,N. W. 33D,,,,,,start with h,8,W 33,,,AV  N. D,,,,,,,,,,,,,
"92 Perry, h. 15 Bowery",TRUE,H. 15 BOWERY,15,BOWERY,,92 Perry,92,Perry,,start with h,15,BOWERY,,,,,,,,,,,,,,,,
h. 52 Roosevelt,TRUE,H. 52 ROOSEVELT,52,ROOSEVELT,,,,,,start with h,52,ROOSEVELT,,,,,,,,,,,,,,,,
"162 Broadway, h. American hotel",TRUE,H. AMERICAN HOTEL,,,AMERICAN HOTEL,162 Broadway,162,Broadway,,start with h,,,,,AMERICAN HOTEL,,,,,,,,,,,,,
h. 71 Ludlow,TRUE,H. 71 LUDLOW,71,LUDLOW,,,,,,start with h,71,LUDLOW,,,,,,,,,,,,,,,,
"69 Chambers, h. 114 Chambers",TRUE,H. 114 CHAMBERS,114,CHAMBERS,,69 Chambers,69,Chambers,,start with h,114,CHAMBERS,,,,,,,,,,,,,,,,
h. 402 Eighth,TRUE,H. 402 8TH,402,EIGHTH,,,,,,start with h,402,8,,,TH,,,,,,,,,,,,,
"70 & 72 Water, h. 181 Forsyth",TRUE,H. 181 FORSYTH,181,FORSYTH,,70 & 72 Water,70,& 72 Water,,start with h,181,FORSYTH,,,,,,,,,,,,,,,,
