"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"4498","2702","270","2",NA,NA,NA,NA,NA,NA,NA
"4499","W N 41 AVE H 9","41","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"4500","1G9 MONROE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4501","E N 19 AVE H 4","19","AVE N H 4",NA,NA,NA,NA,NA,NA,"4"
"4502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4503","GANSEVOORT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4504","20A 7,.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4507","W 30 B AVS H 7 AND 8","30","B AVS H 7 AND 8",NA,NA,NA,NA,NA,"7","8"
"4508","E N 25 AVE H 1","25","AVE N H 1",NA,NA,NA,NA,NA,NA,"1"
"4509","OF S HENRY H 142 CHERRY",NA,NA,NA,NA,NA,NA,NA,"142","CHERRY"
"4510","W N 30 AVE H 7","30","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"4511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4512","RUEZ AD *  D B R OOM EH * L,OOTMAKER ,H 224 RIVINGTON OOOIMD.IK.CI  , .","224","RIVINGTON OOOIMD.IK.CI , .",NA,NA,NA,NA,NA,"224","RIVINGTON"
"4513","RUF FREDERICKP01Ã¢ÂÂ1 GREENWICH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4514","E E  ,","1","E ,",NA,NA,NA,NA,NA,NA,NA
"4515","E",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4516","RUS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4517","AND PROPRIETORS OF THE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4518","W N 26 AVE H 7","26","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"4519","W N 28 AVE H 10","28","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"4520","RUT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4521","RUSSELL MARIA C OF JAMES H 23 ELDRIDGE",NA,NA,NA,NA,NA,NA,NA,"23","ELDRIDGE"
"4522","W Z93 19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4523","2 WALL , RATHBUNS","2","WALL , RATHBUNS",NA,NA,NA,NA,NA,NA,NA
