"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"285",NA,NA,NA,"CLINTON AVE","MYRTLE AVE",NA,NA,NA,NA,NA
"286",NA,NA,NA,NA,NA,"ATLANTIC","POWERS",NA,NA,NA
"287","MANSION 121 HICKS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",NA,NA,NA,"GOLD","FULTON AVE",NA,NA,NA,NA,NA
"289",NA,NA,NA,NA,NA,"PARK","VANDERBILT AVE",NA,NA,NA
"290",NA,NA,NA,NA,NA,"KENT","FLUSHING AVE",NA,NA,NA
"291",NA,NA,NA,"JOHNSON","ADAMS",NA,NA,NA,NA,NA
"292",NA,NA,NA,"WILLOW PL","STATE",NA,NA,NA,NA,NA
"293",NA,NA,NA,NA,NA,"CLINTON","MYRTLE AVE",NA,NA,NA
"294",NA,NA,NA,NA,NA,"S U N FLUSHING AVE","NAVY",NA,NA,NA
"295",NA,NA,NA,NA,NA,"HICKS","LUQUEER",NA,NA,NA
"296",NA,NA,NA,NA,NA,"VAN BRUNT","DIKEMAN RED HOOK",NA,NA,NA
"297",NA,NA,NA,"ATLANTIC","BOND",NA,NA,NA,NA,NA
"298",NA,NA,NA,NA,NA,"PLYMOUTH","PEARL",NA,NA,NA
"299",NA,NA,NA,"GOLD","PROSPECT",NA,NA,NA,NA,NA
"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","KENT AVE NORTH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","YVYCKOFF NBOND",NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",NA,NA,NA,NA,NA,"15S WATER","HUDSON AVE",NA,NA,NA
"304",NA,NA,NA,"IOS CLINTON","STATE",NA,NA,NA,NA,NA
"305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","BOARDING MERCEIN O JAMES",NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",NA,NA,NA,NA,NA,"CARLTON","PARK AVE",NA,NA,NA
"308",NA,NA,NA,"3 AVE","29 GOWANUS DENNETT CHRISTOPHER,CONCORD C GOLD",NA,NA,NA,NA,NA
"309",NA,NA,NA,NA,NA,"3 AVE","27 GOWANUS",NA,NA,NA
"310",NA,NA,NA,NA,NA,"SASH AND BLIND MAKER , HUDSON","FULTON AVE",NA,NA,NA
