"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"214",NA,NA,NA,"E 157","ELTON AVE.",NA,NA,NA,NA,NA
"215","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"216",NA,NA,NA,NA,NA,"1 AVE","120",NA,NA,NA
"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,NA,NA,NA,"W 106","RIVERSIDE AVE.",NA,NA,NA
"219","H. LEGGETTS H.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","H. ALBANY",NA,NA,NA,NA,NA,NA,"NY",NA,NA
"223","H. ILL.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","H. ALBANY",NA,NA,NA,NA,NA,NA,"NY",NA,NA
"225","H. MASS.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"227","208 BROADWAY,H. THE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","H HO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA,"W 8LST","11 AVE.",NA,NA,NA
"232","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"235",NA,NA,NA,NA,NA,"E 115","4",NA,NA,NA
"236","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"237","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"238",NA,NA,NA,NA,NA,"144","3 AVE.",NA,NA,NA
"239",NA,NA,NA,"149","CYPRESS AVE.",NA,NA,NA,NA,NA
"240","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"241","H. PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"243",NA,NA,NA,NA,NA,"4 AVE","E 133",NA,NA,NA
"244","1907 AVE AND W 1 37,H. MT  , VERNON",NA,NA,NA,NA,NA,NA,"VERNON",NA,NA
"245","H. E I.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,NA,NA,NA,NA,"8 AVE","W 85",NA,NA,NA
"247",NA,NA,NA,NA,NA,"H 140",". NICHOLAS AVE.",NA,NA,NA
"248","H. CANADA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
