,hn_1,best_match
2192,,
2193,,
2194,60.0,JOHN
2195,,
2196,,
2197,,
2198,,
2199,127.0,FULTON
2200,,
2201,,
2202,,
2203,,
2204,,
2205,,
2206,,
2207,,
2208,,
2209,,
2210,,
2211,,
2212,,
2213,,
2214,,
2215,,
2216,,
2217,,
2218,,
2219,,
2220,,
2221,,
2222,,
2223,,
2224,,
2225,,
2226,,
2227,,
2228,,
2229,,
2230,,
2231,,
2232,,
2233,,
2234,120.0,
2235,,
2236,7.0,SOUTH
2237,125.0,
2238,,
2239,,
2240,,
2241,,
2242,,
2243,,
2244,,
2245,,
2246,,
2247,,
2248,,
2249,,
2250,,
2251,,
2252,,
2253,,
2254,,
2255,,
2256,,
2257,,
2258,,
2259,,
2260,,
2261,,
2262,,
2263,,
2264,,
2265,,
2266,,
2267,,
2268,,
2269,,
2270,,
2271,,
2272,,
2273,,
2274,,
2275,,
2276,,
2277,,
2278,,MYRTLE AVE & nan
2279,,
2280,,
2281,,
2282,,
2283,,
2284,,
2285,78.0,NASSAU
2286,,
2287,,
2288,,CT & MONTAGUE
2289,,
2290,,
2291,,
2292,378.0,HUDSON
2293,,
2294,,
2295,,
2296,,
2297,113.0,FULTON
2298,,
2299,,
2300,,
2301,,
2302,,
2303,,
2304,,
2305,,
2306,,
2307,,
2308,,
2309,,
2310,,
2311,,
2312,,
2313,,
2314,,
2315,,BRG & nan
2316,,
2317,,
2318,,
2319,,
2320,,
2321,,
2322,29.0,WALL
2323,,
2324,32.0,BROAD
2325,,
2326,,
2327,,
2328,252.0,WATCR
2329,43.0,PINE
2330,243.0,
2331,,
2332,,
2333,,
2334,,
2335,,S HULL TRUSS OFFICE
2336,,
2337,1.0,SPRUCE
2338,,
2339,,
2340,23.0,W
2341,,
2342,,
2343,,
2344,,INSURANCE AGENT OFFICE 3 FRONT
2345,,
2346,,
2347,,
2348,,
2349,,
2350,,
2351,,
2352,,
2353,,
2354,,
2355,,
2356,,
2357,,
2358,,
2359,,
2360,,
2361,,
2362,,
2363,52.0,
2364,,
2365,,
2366,,
2367,,FULTON MARKET
2368,,
2369,,
2370,,
2371,,
2372,,
2373,,
2374,,
2375,,
2376,71.0,FULTON
2377,86.0,SOUTH
2378,,
2379,,
2380,,
2381,,
2382,,
2383,,
2384,,
2385,,
2386,,
2387,59.0,WATER
2388,,
2389,,
2390,,
2391,,
2392,,
2393,,
