,hn_1,best_match
1043,NA,
1044,NA,
1045,NA,
1046,NA,
1047,NA,BEDFORD
1048,NA,PINEAPPLE
1049,NA,IGH
1050,NA,
1051,NA,WATER
1052,NA,
1053,NA,
1054,NA,
1055,4,
1056,NA,
1057,NA,
1058,NA,
1059,NA,
1060,105,WALL
1061,NA,
1062,NA,
1063,NA,
1064,NA,
1065,NA,
1066,NA,
1067,NA,
1068,NA,
1069,NA,
1070,NA,BRG AND HIGH
1071,NA,
1072,NA,
1073,NA,
1074,NA,
1075,NA,
1076,NA,
1077,NA,
1078,NA,
1079,NA,
1080,NA,
1081,NA,
1082,NA,
1083,NA,
1084,NA,
1085,NA,
1086,NA,
1087,NA,
1088,NA,
1089,NA,
1090,NA,
1091,186,FRONT
1092,NA,
1093,NA,
1094,NA,
1095,NA,
1096,NA,CT
1097,NA,
1098,195,WASHINGTON
1099,NA,
1100,NA,
1101,NA,
1102,NA,
1103,NA,
1104,NA,
1105,NA,
1106,NA,
1107,NA,
1108,NA,
1109,128,WATER
1110,NA,
1111,NA,
1112,NA,
1113,NA,
1114,NA,
1115,NA,
1116,NA,
1117,NA,
1118,NA,
1119,NA,
1120,NA,
1121,NA,
1122,NA,
1123,NA,
1124,NA,
1125,NA,
1126,NA,
1127,NA,
1128,NA,
1129,NA,
1130,NA,
1131,NA,
1132,NA,
1133,NA,
1134,NA,
1135,NA,
1136,NA,
1137,NA,
1138,NA,
1139,NA,
1140,NA,
1141,79,WATER
1142,NA,
1143,NA,
1144,NA,
1145,NA,
1146,NA,FRONT
1147,NA,
1148,101,WILLIAM
1149,NA,
1150,NA,
1151,NA,
1152,22,PINE
1153,NA,
1154,NA,
1155,NA,
1156,NA,MAIN
1157,NA,
1158,NA,
1159,NA,
1160,NA,
1161,NA,
1162,NA,
1163,NA,
1164,NA,
1165,NA,
1166,NA,
1167,NA,
1168,NA,
1169,NA,
1170,NA,
1171,NA,
1172,NA,
1173,93,WILLIAM
1174,NA,
1175,NA,ACCOUNTANT
1176,NA,SCHERMERHORN
1177,99,MAIDEN LN
1178,NA,
1179,NA,
1180,NA,
1181,NA,
1182,NA,
1183,NA,
1184,NA,
1185,NA,
1186,NA,
1187,NA,
1188,NA,
1189,NA,
1190,NA,
1191,NA,CT
1192,NA,
1193,29,WALL
1194,NA,
1195,NA,
1196,NA,
1197,83,JOHN
1198,80,CHERRY
1199,252,PEARL
1200,NA,
1201,NA,
1202,NA,
1203,NA,
1204,NA,FURMAN
1205,NA,
1206,NA,
1207,NA,PEARL AND PLYMOUTH
1208,NA,
1209,NA,
1210,47,FRONT
1211,NA,
1212,NA,
1213,NA,
1214,NA,
1215,NA,
1216,NA,
1217,NA,
1218,NA,
1219,NA,
1220,NA,
1221,NA,
1222,228,WATER
1223,NA,
1224,NA,
1225,NA,
1226,NA,
1227,NA,
1228,NA,
1229,98,PINE
1230,NA,
1231,NA,
1232,NA,
1233,4,FRONT
1234,NA,
1235,NA,
1236,NA,
1237,NA,
1238,NA,COLUMBIA
1239,18,CLIFF
1240,NA,
1241,NA,INETON
1242,77,JOHN
1243,NA,
1244,NA,
1245,NA,
1246,NA,
1247,NA,
1248,NA,Y
1249,NA,
