"","hn_1","best_match","street_type","base_function","suffix_true","both_true"
"2848",NA,"","ST",NA,NA,NA
"2849",NA,"","ST",NA,NA,NA
"2850",NA,"","ST",NA,NA,NA
"2851",NA,"","ST",NA,NA,NA
"2852",NA,"","ST",NA,NA,NA
"2853",66,"WALL","ST","66 WALL ST","66 WALL ST","66 WALL ST"
"2854",NA,"","ST",NA,NA,NA
"2855",25,"NASSAU","ST","25 NASSAU ST","25 NASSAU ST","25 NASSAU ST"
"2856",49,"JOHN","ST","49 JOHN ST","49 JOHN ST","49 JOHN ST"
"2857",NA,"","ST",NA,NA,NA
"2858",NA,"","ST",NA,NA,NA
"2859",NA,"","ST",NA,NA,NA
"2860",NA,"","ST",NA,NA,NA
"2861",NA,"","ST",NA,NA,NA
"2862",NA,"","ST",NA,NA,NA
"2863",NA,"","ST",NA,NA,NA
"2864",NA,"","ST",NA,NA,NA
"2865",NA,"","ST",NA,NA,NA
"2866",NA,"","ST",NA,NA,NA
"2867",NA,"","ST",NA,NA,NA
"2868",NA,"HENRY","ST","HENRY ST","HENRY ST","HENRY ST"
"2869",NA,"","ST",NA,NA,NA
"2870",NA,"","ST",NA,NA,NA
"2871",NA,"","ST",NA,NA,NA
"2872",NA,"","ST",NA,NA,NA
"2873",NA,"","ST",NA,NA,NA
"2874",NA,"","ST",NA,NA,NA
"2875",NA,"","ST",NA,NA,NA
"2876",NA,"","ST",NA,NA,NA
"2877",NA,"","ST",NA,NA,NA
"2878",NA,"","ST",NA,NA,NA
"2879",NA,"","ST",NA,NA,NA
"2880",NA,"","ST",NA,NA,NA
"2881",NA,"","ST",NA,NA,NA
"2882",NA,"CALVARY CHURCH","ST","CALVARY CHURCH ST","CALVARY CHURCH ST","CALVARY CHURCH ST"
"2883",NA,"","ST",NA,NA,NA
"2884",NA,"","ST",NA,NA,NA
"2885",NA,"SCHERMERHORN AND SMITH","ST","SCHERMERHORN AND SMITH ST","SCHERMERHORN AND SMITH ST","SCHERMERHORN AND SMITH ST"
"2886",NA,"","ST",NA,NA,NA
"2887",NA,"","ST",NA,NA,NA
"2888",NA,"","ST",NA,NA,NA
"2889",NA,"","ST",NA,NA,NA
"2890",NA,"","ST",NA,NA,NA
"2891",94,"BROADWAY","AVE","94 BROADWAY AVE","94 BROADWAY AVE","94 BROADWAY AVE"
"2892",NA,"SHOE STORE 267 WASHINGTON","ST","SHOE STORE 267 WASHINGTON ST","SHOE STORE 267TH WASHINGTON ST","SHOE STORE 267TH WASHINGTON ST"
"2893",205,"BROADWAY","AVE","205 BROADWAY AVE","205 BROADWAY AVE","205 BROADWAY AVE"
"2894",NA,"","ST",NA,NA,NA
"2895",NA,"","ST",NA,NA,NA
"2896",NA,"","ST",NA,NA,NA
"2897",NA,"","ST",NA,NA,NA
"2898",NA,"","ST",NA,NA,NA
"2899",NA,"","ST",NA,NA,NA
"2900",NA,"","ST",NA,NA,NA
"2901",NA,"","ST",NA,NA,NA
"2902",69,"BROADWAY","AVE","69 BROADWAY AVE","69 BROADWAY AVE","69 BROADWAY AVE"
"2903",NA,"PHOENIX GLASSWORKS JOHN AND HUDSON AVE OFFICE 3S BURLING SLIP","AVE","PHOENIX GLASSWORKS JOHN AND HUDSON AVE OFFICE 3S BURLING SLIP AVE","PHOENIX GLASSWORKS JOHN AND HUDSON AVE OFFICE 3RDS BURLING SLIP AVE","PHOENIX GLASSWORKS JOHN AND HUDSON AVE OFFICE 3RDS BURLING SLIP AVE"
"2904",NA,"","ST",NA,NA,NA
"2905",NA,"","ST",NA,NA,NA
"2906",NA,"","ST",NA,NA,NA
"2907",NA,"","ST",NA,NA,NA
"2908",NA,"","ST",NA,NA,NA
"2909",NA,"","ST",NA,NA,NA
"2910",NA,"","ST",NA,NA,NA
"2911",NA,"","ST",NA,NA,NA
"2912",NA,"","ST",NA,NA,NA
"2913",NA,"","ST",NA,NA,NA
