,hn_1,best_match1
737,330,AVE 3
738,NA,W 30 AND AVE W 7 N BH 30 AVE 7
739,148,WOOSTER
740,665,WASHINGTON
741,59,KING
742,475,WASHINGTON
743,92,SHERIF
744,141,PEARL
745,171,S FRONT EARLE
746,7,JACKSON SL
747,231,10
748,187,MADISON
749,29,RUTGERS
750,124,MADISON
751,42,MCDOUGAL
752,105,MONROE
753,124,MADISON
754,89,PINE
755,237,RIVINGTON
756,3,E 28
757,73,AVE 2
758,118,E 13
759,48,AVE 3
760,10,
761,174,HUDSON
762,93,HESTER
763,26,LUDLOW
764,121,DIVISION
765,175,W 21
766,6,AMITY PL
767,252,W 16
768,301,6
769,22,NORFOLK
770,22,PRINCE
771,423,BROADWAY 196 PRINCE
772,NA,AVE E 2C 27
773,298,HUDSON
774,398,WEST
775,298,HDSN
776,85,HMND
777,173,S TH
778,298,HUDSON
779,423,BROADWAY
780,40,VANDAM
781,173,AVE 6
782,278,SPRING
783,NA,329W 24
784,6,STANTON
785,181,AVE 6 AVE 6
786,228,AVE 8
787,NA,WILLIAMSBURG
788,119,SUFFOLK
789,17,STNTN
790,150,BOWERY
791,425,AVE 6
792,231,2
793,75,FORSYTH
794,NA,SACKETT AND CT BROOKLYN
795,415,GREENWICH
796,17,PERRY
797,559,4
798,21,JACOB 92 GOLD
799,244,5
800,NA,W 88 AND AVE 5
801,16,SOUTH
802,NA,1243G CANNON
803,194,HOUSTON
804,125,ORCHRD
805,58,MARKET
806,663,HOUSTON
807,26,WEST
808,884,10
809,245,5
810,173,ALA
811,197,2
812,210,W 26
813,152,CHERRY
814,36934,PEARL
815,36932,PEARL
816,420,10
817,159,CHARLES
818,745,GREENWICH
819,NA,
820,251,DIVISION
821,63,CARMINE
822,391,PEARL
823,14,BROOME
824,431,HOUSTON
825,431,HOUSTON
826,29,DOWNING
827,200,GREENE
828,105,AVE 7
829,82,AVE D
830,44,WALL
831,192,DELANCEY
832,79,CANNON
833,152,4
834,260,STNTN
835,103,1
836,194,HOUSTON
837,142,GRND
838,92,KIN
839,101,NORFOL
840,379,BOWERY
841,389,GREENWICH
842,167,BOW RY
843,NA,ELIZABETHT WN
844,153,NORFOLK
845,167,BOWERY
846,328,BOWRY
847,455,HUDSON
848,253,BOWERY
849,156,BOWERY AND 256 GRAND
850,72,
851,141,PEARL
852,NA,BLEECKER AND WOOSTER
853,202,GREENE
854,163,BARROW
855,194,VARICK
856,44,DEY
857,77,CENTRE
858,72,MARKET
859,78,CHAMBERS
860,30,CARMINE
861,9,STATE
862,9,STATE
863,308,HUDSON 140 VARICK
864,51,MORTON
865,276,W 29
866,NA,BROOKLYN
867,183,CHMBRS
868,112,WEST NORTH RN
869,43,1
870,NA,HURLGATE
871,15,GOERCK
872,49,E 16
873,54,HORATIO
874,295,PEARL
875,19,CITY HALL
876,142,AVE 3
