,n_street1,n_street2,c_street1,c_street2,Full Address,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City
256,,,,,303 Elizabeth,303 ELIZABETH,303.0,ELIZABETH,,,,,
257,,,,,95 Greenwich Ay,95 GREENWICH AY,95.0,GREENWICH AY,,,,,
258,,,,,238 Wm,238 WM,238.0,WM,,,,,
259,,,,,205 Third,205 3RD,205.0,THIRD,,,,,
260,,,,,107 Allen,107 ALLEN,107.0,ALLEN,,,,,
261,,,,,243 Third,243 3RD,243.0,THIRD,,,,,
262,,,,,213 Third,213 3RD,213.0,THIRD,,,,,
263,,,,,592 Fourth,592 4TH,592.0,FOURTH,,,,,
264,,,,,12 Union place S Brooklyn,12 UNION PLACE S BROOKLYN,12.0,UNION PLACE S,BROOKLYN,,,,
265,,,,,617 Fourth,617 4TH,617.0,FOURTH,,,,,
266,,,,,241 E 25th,241 E 25TH,241.0,E 25TH,,,,,
267,,,,,102 Nassau,102 NASSAU,102.0,NASSAU,,,,,
268,,,,,13 Fifth,13 5TH,13.0,FIFTH,,,,,
269,,,,,629 Fourth,629 4TH,629.0,FOURTH,,,,,
270,,,,,39 Walker,39 WALKER,39.0,WALKER,,,,,
271,,,,,9 Warren pl,9 WARREN PL,9.0,WARREN PL,,,,,
272,,,,,55 Cannon,55 CANNON,55.0,CANNON,,,,,
273,,,,,Brooklyn,BROOKLYN,,,,,,,
274,,,,,39 Broadway,39 BROADWAY,39.0,BROADWAY,,,,,
275,,,,,291 Third,291 3RD,291.0,THIRD,,,,,
276,,,,,114 Varick,114 VARICK,114.0,VARICK,,,,,
277,,,,,65 Sullivan,65 SULLIVAN,65.0,SULLIVAN,,,,,
278,Broadway,W 32d,,,Broadway n W 32d,BROADWAY N W 32D,,,BROADWAY N W 32D,,,,
279,,,,,299 W 25th,299 W 25TH,299.0,W 25TH,,,,,
280,,,,,76 Broad,76 BROAD,76.0,BROAD,,,,,
281,,,,,1 Wall,1 WALL,1.0,WALL,,,,,
282,,,,,651 Washington,651 WASHINGTON,651.0,WASHINGTON,,,,,
283,,,,,67 Hamersly,67 HAMERSLY,67.0,HAMERSLY,,,,,
284,,,,,214 Tenth,214 10TH,214.0,TENTH,,,,,
285,,,,,120 Columbia,120 COLUMBIA,120.0,COLUMBIA,,,,,
286,,,,,260 Grand,260 GRAND,260.0,GRAND,,,,,
287,,,,,260 Grand,260 GRAND,260.0,GRAND,,,,,
288,,,,,129 Third,129 3RD,129.0,THIRD,,,,,
289,,,,,120,120,120.0,,,,,,
290,,,,,71,71,71.0,,,,,,
291,,,,,72,72,72.0,,,,,,
292,,,,,37 E 20th,37 E 20TH,37.0,E 20TH,,,,,
293,,,,,Taylor s hotel,TAYLOR S HOTEL,,,TAYLOR S HOTEL,,,,
294,,,,,280 Av 3,280 AV 3,280.0,AV 3,,,,,
295,,,,,124E B way,124E B WAY,,,124E B WAY,,,,
296,,,,,Green,GREEN,,,,,,,
297,,,,,110 Twelfth,110 12TH,110.0,TWELFTH,,,,,
298,,,,,Brooklyn,BROOKLYN,,,,,,,
299,,,,,100 York Jersey City,100 YORK JERSEY CITY,100.0,YORK JERSEY CITY,,,,,
300,,,,,4 Tompkins,4 TOMPKINS,4.0,TOMPKINS,,,,,
301,,,,,471 Grand,471 GRAND,471.0,GRAND,,,,,
302,,,,,47 N Moore,47 N MOORE,47.0,N MOORE,,,,,
303,,,Court,Jora,Court c Jora,COURT C JORA,,,COURT C JORA,,,,
304,,,,,20 Norfolk,20 NORFOLK,20.0,NORFOLK,,,,,
305,,,,,Brooklyn,BROOKLYN,,,,,,,
306,,,,,100,100,100.0,,,,,,
307,,,,,29534 Pearl,29534 PEARL,29534.0,PEARL,,,,,
308,,,,,141 Front,141 FRONT,141.0,FRONT,,,,,
309,,,,,790 Washgtn,790 WASHGTN,790.0,WASHGTN,,,,,
310,,,,,42 Essex,42 ESSEX,42.0,ESSEX,,,,,
311,,,,,250 Stanton,250 STANTON,250.0,STANTON,,,,,
312,,,,,84 Ludlow,84 LUDLOW,84.0,LUDLOW,,,,,
313,,,,,254E B way,254E B WAY,,,254E B WAY,,,,
